COD SECC;75_2001;75_2011;HOG_64_2001;HOG_64_2011;HOG_MONO_2001;HOG_MONO_2011;EXT_2001;EXT_2011;EXT_MEN_2001;EXT_MEN_2011
3907501001;14,20;8,33;14,77;12,73;1,87;3,01;5,27;30,83;6,93;0,00
3907501002;14,17;18,45;11,46;14,12;1,04;0,00;1,55;14,00;1,98;0,00
3907501003;19,15;12,80;12,42;22,46;1,35;5,32;1,77;6,37;5,06;0,00
3907501004;21,11;27,78;15,56;27,99;1,11;0,00;2,04;9,36;0,00;0,00
3907501005;17,17;11,16;17,03;26,78;1,39;5,39;1,62;39,31;0,00;25,90
3907501006;12,15;8,86;11,87;13,85;2,04;12,01;3,25;23,00;3,97;23,00
3907501007;10,52;18,17;8,82;7,74;1,80;5,20;3,86;7,05;3,03;0,00
3907501008;13,28;14,33;11,66;13,08;1,86;3,53;3,85;46,01;3,03;3,55
3907501009;17,23;15,49;14,21;22,29;0,55;3,37;2,59;12,42;3,85;33,33
3907501010;11,48;14,30;15,58;17,01;0,75;5,36;5,27;28,59;4,35;50,00
3907501011;10,22;14,83;11,16;23,51;1,50;4,50;5,05;2,22;4,65;0,00
3907502001;5,22;12,44;4,14;14,06;1,38;0,00;0,87;0,00;1,45;0,00
3907502002;12,04;17,19;13,64;18,13;1,91;0,00;3,87;21,16;7,07;7,56
3907502003;10,31;21,30;8,69;6,93;2,21;4,66;2,92;1,30;2,92;0,00
3907502004;12,56;9,33;10,42;26,50;1,65;7,37;3,07;5,08;4,17;36,93
3907502005;10,68;13,90;8,00;18,41;2,13;3,63;2,84;4,68;4,79;0,00
3907502006;10,81;14,16;10,04;10,83;0,84;5,35;1,96;2,31;5,74;50,00
3907502007;11,42;15,30;10,54;14,71;1,57;0,00;1,90;10,19;0,00;20,53
3907502008;22,27;19,66;18,08;15,58;1,45;0,00;0,86;30,95;0,00;36,39
3907502009;16,98;31,93;12,02;23,40;1,79;0,00;2,10;16,15;3,85;25,60
3907502010;11,74;19,85;12,16;21,16;0,68;13,94;1,88;15,74;3,09;37,88
3907502011;12,23;15,66;10,88;12,73;1,16;3,37;2,49;3,51;8,70;0,00
3907502012;14,49;26,93;12,48;24,54;1,92;7,06;2,06;0,00;3,80;0,00
3907502013;11,19;30,18;11,96;12,42;1,33;5,59;1,80;0,00;2,34;0,00
3907502014;4,31;7,38;2,98;0,00;1,28;6,40;0,46;0,00;0,00;0,00
3907502015;14,94;23,76;13,12;32,36;0,52;0,00;3,45;8,06;4,48;0,00
